#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        78   -1.7253783383e+01    2.9792896893e+02   -3.0815660254e+01    1.3561876870e+01   -5.6548425706e+01    1.7700769468e+00    1.6981925260e+01    6.9807632464e+00    2.6459000000e+04    2.7079603250e-01    9.9742557493e-01
        79   -1.7253842517e+01    2.9792184769e+02   -3.0746094693e+01    1.3492252175e+01   -5.6645143137e+01    1.9106273916e+00    1.7007657806e+01    6.9807632464e+00    2.6454000000e+04    2.7353977950e-01    9.9740068739e-01
        80   -1.7268514304e+01    2.9843640531e+02   -3.0870997155e+01    1.3602482851e+01   -5.6771388191e+01    1.9152318137e+00    1.7004395976e+01    6.9807632464e+00    2.6509000000e+04    2.7330590700e-01    9.9723623998e-01
        81   -1.7262848236e+01    2.9823660179e+02   -3.0906301061e+01    1.3643452825e+01   -5.6818973419e+01    1.9034928783e+00    1.7028416233e+01    6.9807632464e+00    2.6562000000e+04    2.7453283200e-01    9.9736413164e-01
        82   -1.7262972480e+01    2.9822120982e+02   -3.0807092672e+01    1.3544120193e+01   -5.6661025628e+01    1.8416093188e+00    1.7031560390e+01    6.9807632464e+00    2.6553000000e+04    2.7449409833e-01    9.9734488661e-01
        83   -1.7260784504e+01    2.9818121612e+02   -3.0874684839e+01    1.3613900335e+01   -5.6787341534e+01    1.8850931775e+00    1.7046800271e+01    6.9807632464e+00    2.6570000000e+04    2.7625986583e-01    9.9737503245e-01
        84   -1.7271184567e+01    2.9854864698e+02   -3.0887011309e+01    1.3615826742e+01   -5.6742948908e+01    1.8408364210e+00    1.7034337932e+01    6.9807632464e+00    2.6499000000e+04    2.7422261733e-01    9.9744361947e-01
        85   -1.7264293789e+01    2.9826088478e+02   -3.0615951824e+01    1.3351658034e+01   -5.6521061565e+01    1.8777204894e+00    1.7046626005e+01    6.9807632464e+00    2.6525000000e+04    2.7300198667e-01    9.9743151360e-01
        86   -1.7265663462e+01    2.9832177910e+02   -3.0493001677e+01    1.3227338215e+01   -5.6322600823e+01    1.8301640585e+00    1.7018671841e+01    6.9807632464e+00    2.6614000000e+04    2.7459631133e-01    9.9739699143e-01
        87   -1.7273735449e+01    2.9860465776e+02   -3.0392745145e+01    1.3119009695e+01   -5.6181156310e+01    1.8104472659e+00    1.6997200653e+01    6.9807632464e+00    2.6663000000e+04    2.7823128533e-01    9.9743570433e-01
        88   -1.7275172367e+01    2.9867613751e+02   -3.0487329292e+01    1.3212156925e+01   -5.6199153337e+01    1.7320075433e+00    1.6999053255e+01    6.9807632464e+00    2.6659000000e+04    2.7800591400e-01    9.9758042924e-01
        89   -1.7263178075e+01    2.9822271197e+02   -3.0611589891e+01    1.3348411816e+01   -5.6341541303e+01    1.7672602009e+00    1.6981927964e+01    6.9807632464e+00    2.6722000000e+04    2.7726297950e-01    9.9761334916e-01
        90   -1.7258270572e+01    2.9806769747e+02   -3.0595573575e+01    1.3337303003e+01   -5.6404880282e+01    1.8692023295e+00    1.6959341131e+01    6.9807632464e+00    2.6758000000e+04    2.7580026167e-01    9.9750039702e-01
        91   -1.7262671703e+01    2.9823181043e+02   -3.0648397101e+01    1.3385725398e+01   -5.6414390575e+01    1.8549348846e+00    1.6930295343e+01    6.9807632464e+00    2.6789000000e+04    2.7338348533e-01    9.9726972995e-01
        92   -1.7264773394e+01    2.9832478441e+02   -3.0626450630e+01    1.3361677235e+01   -5.6430032900e+01    1.8597052080e+00    1.6963113816e+01    6.9807632464e+00    2.6834000000e+04    2.7536282950e-01    9.9738173622e-01
        93   -1.7261340622e+01    2.9816064105e+02   -3.0696549490e+01    1.3435208868e+01   -5.6524757157e+01    1.8794471623e+00    1.6967997258e+01    6.9807632464e+00    2.6845000000e+04    2.7761520083e-01    9.9750487207e-01
        94   -1.7256201592e+01    2.9798952021e+02   -3.0671531870e+01    1.3415330278e+01   -5.6522585518e+01    1.9312184333e+00    1.6939071968e+01    6.9807632464e+00    2.6846000000e+04    2.7839362467e-01    9.9752704353e-01
        95   -1.7262803142e+01    2.9824167860e+02   -3.0795896311e+01    1.3533093169e+01   -5.6611955643e+01    1.8823538684e+00    1.6952942217e+01    6.9807632464e+00    2.6838000000e+04    2.7696688933e-01    9.9744773049e-01
        96   -1.7258558705e+01    2.9807762857e+02   -3.0551368404e+01    1.3292809699e+01   -5.6411720561e+01    1.9234305232e+00    1.6956158387e+01    6.9807632464e+00    2.6826000000e+04    2.7659280183e-01    9.9771231517e-01
        97   -1.7258354434e+01    2.9805746183e+02   -3.0542633338e+01    1.3284278904e+01   -5.6341267128e+01    1.8606518150e+00    1.6957218729e+01    6.9807632464e+00    2.6830000000e+04    2.7662942300e-01    9.9734866963e-01
        98   -1.7255899879e+01    2.9800180445e+02   -3.0601328967e+01    1.3345429088e+01   -5.6523299124e+01    1.9660866579e+00    1.6975120253e+01    6.9807632464e+00    2.6911000000e+04    2.7846851533e-01    9.9746282220e-01
